iter	Logloss
0	0.6612457027
1	0.6262559363
2	0.5949813901
3	0.5648601253
4	0.5382910023
5	0.5165639846
6	0.4970426176
7	0.4779493986
8	0.4644602155
9	0.4506863646
10	0.4390587527
11	0.4289854618
12	0.4197072438
13	0.4103926894
14	0.4032090267
15	0.3961675051
16	0.3895671898
17	0.3849224662
18	0.3799636553
19	0.3759997363
20	0.3716356342
21	0.3686734836
22	0.3654528897
23	0.3623896514
24	0.3597029138
25	0.3566497961
26	0.3548457511
27	0.3527821168
28	0.3507407756
29	0.349041316
30	0.3474600343
31	0.3456646995
32	0.3440271382
33	0.3423941709
34	0.3413578155
35	0.3393299129
36	0.3380050756
37	0.3367491653
38	0.3355440465
39	0.334534852
40	0.3332903999
41	0.3324104733
42	0.3317307019
43	0.3305585036
44	0.329823941
45	0.3290447939
46	0.3279680436
47	0.3271127208
48	0.326622291
49	0.3257767521
50	0.3250118725
51	0.3245297661
52	0.3234570867
53	0.3228904443
54	0.3222162965
55	0.3216496667
56	0.3209385567
57	0.320392993
58	0.3196953046
59	0.3189068317
60	0.3183914019
61	0.3179191682
62	0.3174416954
63	0.3169792801
64	0.316291133
65	0.3157803055
66	0.3154714391
67	0.315027646
68	0.3145510217
69	0.3139889329
70	0.3134251204
71	0.3129782957
72	0.3126390376
73	0.3122265929
74	0.3118860687
75	0.3115186758
76	0.311078011
77	0.31085293
78	0.3104345774
79	0.3098439896
80	0.3092940703
81	0.3087788104
82	0.3083924596
83	0.3081013321
84	0.307505538
85	0.3070432901
86	0.306617007
87	0.3062618891
88	0.306023678
89	0.3055389597
90	0.3050776925
91	0.3048732157
92	0.3046506697
93	0.3042712815
94	0.3041130429
95	0.3036386763
96	0.3033715045
97	0.3030807785
98	0.3027242103
99	0.3022926169
100	0.3018415787
101	0.3016274621
102	0.3014322214
103	0.3009203813
104	0.3006441093
105	0.3004089666
106	0.3000797856
107	0.29985661
108	0.2993879925
109	0.2991507423
110	0.2988885103
111	0.2986150379
112	0.2983132654
113	0.2983026569
114	0.2978413094
115	0.2976183857
116	0.2973080708
117	0.2967569556
118	0.2964297736
119	0.2962844531
120	0.2960709459
121	0.2958358206
122	0.2956096148
123	0.295192149
124	0.295053384
125	0.2947270703
126	0.2945708962
127	0.2943211805
128	0.2940063715
129	0.2938125914
130	0.2934417442
131	0.2930646813
132	0.2925358407
133	0.2923310988
134	0.2920693685
135	0.2916571053
136	0.2914138238
137	0.2911992712
138	0.2910122155
139	0.2907992935
140	0.2905249898
141	0.2901400487
142	0.2898885382
143	0.2895354893
144	0.2891367922
145	0.2887983683
146	0.2884988973
147	0.288215247
148	0.2878583001
149	0.287626117
150	0.2872409912
151	0.2869268899
152	0.2866595758
153	0.2863815408
154	0.286222994
155	0.2860874974
156	0.2858800948
157	0.2855855358
158	0.2854369488
159	0.2850798105
160	0.2846688205
