iter	Logloss
161	0.2843411195
162	0.2841000389
163	0.2835459191
164	0.2830080915
165	0.2828163427
166	0.282695184
167	0.2823469667
168	0.282209122
169	0.2820218439
170	0.2817239135
171	0.281393442
172	0.2810217783
173	0.2807627935
174	0.2803360873
175	0.2801953943
176	0.279849118
177	0.2795599324
178	0.2792112719
179	0.2786749499
180	0.2785291865
181	0.2781758378
182	0.2778340637
183	0.2771911908
184	0.2769069277
185	0.2764989985
186	0.2760376173
187	0.2757754053
188	0.2751260826
189	0.274729171
190	0.2743523759
191	0.2739122918
192	0.2732575427
193	0.2730067876
194	0.2722005424
195	0.2720062425
196	0.2716295631
197	0.270963898
198	0.2706614892
199	0.2702764564
200	0.2699062922
201	0.2697070724
202	0.2689606964
203	0.2682901694
204	0.2681018417
205	0.2675387553
206	0.2670591461
207	0.2667653426
208	0.2666187744
209	0.2661452629
210	0.2657813783
211	0.2651128323
212	0.2645831699
213	0.2640019134
214	0.2635371048
215	0.2632756362
216	0.2630156964
217	0.2625692186
218	0.2620543179
219	0.2614299089
220	0.2611031791
221	0.260547663
222	0.260230995
223	0.259644734
224	0.2593341576
225	0.2587304956
226	0.2582774634
227	0.2580260276
228	0.2574889107
229	0.2569810505
230	0.256532766
231	0.2561430171
232	0.255832331
233	0.255467973
234	0.255084943
235	0.2542568678
236	0.2535072649
237	0.2530589363
238	0.2527795534
239	0.252510479
240	0.2523294583
241	0.2518155941
242	0.2513402607
243	0.2510368167
244	0.2504967065
245	0.2499344338
246	0.2498041511
247	0.2493818433
248	0.2490189174
249	0.2485790118
250	0.2484695712
251	0.2480681587
252	0.2479371081
253	0.2475886728
254	0.2474239442
255	0.2467023284
256	0.2462080078
257	0.2457677557
258	0.245278587
259	0.2451025221
260	0.2447109479
261	0.244200332
262	0.2438521328
263	0.2433709056
264	0.2430486876
265	0.2425975402
266	0.2421536505
267	0.2413745776
268	0.2412014869
269	0.2411428625
270	0.2404719804
271	0.2400741947
272	0.2397154096
273	0.2394384532
274	0.2391684819
275	0.2388753568
276	0.238529664
277	0.2381144418
278	0.2377328496
279	0.2370420075
280	0.2366689849
281	0.2364921697
282	0.2363500218
283	0.2362926716
284	0.2361367206
285	0.2359139828
286	0.2357606979
287	0.2354187241
288	0.2351194617
289	0.2347463885
290	0.2346385107
291	0.2341562121
292	0.2336992839
293	0.2333223842
294	0.2330583586
295	0.2326510501
296	0.2322856626
297	0.2316727329
298	0.2313904842
299	0.231193192
300	0.2305710071
301	0.230234782
302	0.2298866839
303	0.2295750636
304	0.2294426915
305	0.2290102271
306	0.2286137021
307	0.2280548357
308	0.2274259197
309	0.2270442131
310	0.2268252316
311	0.2265117848
312	0.2259520433
313	0.2256995517
314	0.2253840203
315	0.2253024528
316	0.2251076123
317	0.2249675386
318	0.224606699
319	0.2244383396
320	0.2238823315
321	0.2235506219
322	0.223439429
323	0.2232475508
324	0.2227856529
325	0.2226157349
326	0.2224917172
327	0.2219961482
328	0.2218276635
329	0.221602812
330	0.2213630233
331	0.2212572242
332	0.2210060876
333	0.2205159327
334	0.2202392233
335	0.2200349319
336	0.2196865969
337	0.2193521773
338	0.2189959047
339	0.2186010735
340	0.2183221663
341	0.2180404298
342	0.2177880636
343	0.2173703552
344	0.217071053
345	0.2167963298
346	0.2165935712
347	0.2163293095
348	0.2160225734
349	0.2156636038
350	0.2155949819
351	0.2153697808
352	0.2150925081
353	0.2149175347
354	0.214823011
355	0.2144126284
356	0.2143123598
357	0.2140221849
358	0.2138604258
359	0.2135998622
360	0.2130670727
361	0.2129045474
362	0.2124319376
363	0.2122986495
364	0.2120442933
365	0.2118454723
366	0.2117363047
367	0.2114928153
368	0.2111858382
369	0.2108998354
370	0.2108093123
371	0.2107290377
372	0.210643512
373	0.2102852221
374	0.2101414358
375	0.2097686818
376	0.2095101787
377	0.2092244002
378	0.2091340224
379	0.2087592465
380	0.2086161105
381	0.208395306
382	0.2080031271
383	0.2078651824
384	0.2074471514
385	0.2072129817
386	0.2070769171
387	0.2069432173
388	0.2066256858
389	0.2064661861
390	0.2063618757
391	0.2062342217
392	0.2061566048
393	0.2058449697
394	0.205763786
395	0.205481847
396	0.2052971485
397	0.205222913
398	0.2051521483
399	0.2050779433
400	0.2050114608
401	0.2048976133
402	0.2046413688
403	0.204495152
404	0.2042823845
405	0.2041103211
406	0.2040485139
407	0.2038144345
408	0.203600174
409	0.2035224629
410	0.203445821
411	0.2033784205
412	0.2033235815
413	0.2032716589
414	0.2032397692
415	0.2031904159
416	0.202978056
417	0.2026114899
418	0.2024999355
419	0.2023101862
420	0.2021548978
421	0.2020527855
422	0.2018070424
423	0.2017337523
424	0.2016868756
425	0.2016558783
426	0.2015684728
427	0.201337623
428	0.201102458
429	0.200933843
430	0.2007140065
431	0.2004014598
432	0.2002520326
433	0.1999941263
434	0.1996913294
435	0.1994549794
436	0.1992553953
437	0.1990981166
438	0.1988439224
439	0.1985258041
440	0.1984131283
441	0.1982145052
442	0.1980911907
443	0.1979677675
444	0.1978138433
445	0.1975681804
446	0.1973932167
447	0.1972041741
448	0.1968872087
449	0.1967183599
450	0.196596637
451	0.196455658
452	0.1962748683
453	0.1960428328
454	0.1957235245
455	0.1956083861
456	0.1955307302
457	0.1952439709
458	0.195133317
459	0.1950249941
460	0.194607823
461	0.1942936012
462	0.1941501383
463	0.1939457282
464	0.1937595431
465	0.1936824893
466	0.1935578687
467	0.193440011
468	0.193367598
469	0.1933266826
470	0.1931854954
471	0.1930428261
472	0.1930164751
473	0.1928045451
474	0.1926108898
475	0.1923997188
476	0.1923629812
477	0.1923322195
478	0.1919848067
479	0.1918727275
480	0.1916507872
481	0.1914485093
482	0.1912831656
483	0.1910330277
484	0.1908980583
485	0.1906349012
486	0.1905025608
487	0.1902593213
488	0.1901431079
489	0.1899831495
490	0.189824835
491	0.1897271948
492	0.1896906541
493	0.1896247217
494	0.1893784688
495	0.1893232002
496	0.1891812686
497	0.1891021213
498	0.189002979
499	0.188843953
500	0.1886258139
501	0.1883955427
502	0.1882435832
503	0.1882087912
504	0.1879994925
505	0.1877893233
506	0.1876737458
507	0.1876262746
508	0.1874348667
509	0.1874091763
510	0.1872934103
511	0.1870811004
512	0.1869949369
513	0.1869023066
514	0.1868573952
515	0.1867966246
516	0.1867198403
517	0.1864664812
518	0.1861997611
519	0.186078457
520	0.1858870522
521	0.1856751858
522	0.1855386653
523	0.1855105175
524	0.185312933
525	0.1849680981
526	0.1846695006
527	0.1845997291
528	0.184580467
529	0.1845548063
530	0.1845212026
531	0.1843790818
532	0.1842248546
533	0.1841609306
534	0.1839170542
535	0.183866802
536	0.1838108698
537	0.1836861337
538	0.1835931283
539	0.1835400768
540	0.1833607582
541	0.1832871772
542	0.1831368192
543	0.1827918477
544	0.1825905013
545	0.1824649172
546	0.1821709091
547	0.1819658758
548	0.1817016342
549	0.1815672661
550	0.1813225353
551	0.1812844832
552	0.1810734913
553	0.1807504255
554	0.1806091773
555	0.1804739387
556	0.1804116963
557	0.1801747665
558	0.1800787547
559	0.1799763172
560	0.1797506188
561	0.17950062
562	0.1792477028
563	0.1790185322
564	0.1788087356
565	0.178714251
566	0.1786421963
567	0.1785946405
568	0.1784515372
569	0.1782716337
570	0.1780654572
571	0.1778619755
572	0.1778375183
573	0.1776924489
574	0.1776694046
575	0.177584811
576	0.1774553917
577	0.1774335857
578	0.177406677
579	0.1772047857
580	0.177044722
581	0.1767335648
582	0.1766997976
583	0.1765119083
584	0.1763033447
585	0.176119342
586	0.1759062145
587	0.1757505508
588	0.1756239195
589	0.1755390431
590	0.1752742016
591	0.1751617039
592	0.1749949981
593	0.1748829497
594	0.1748532943
595	0.1748176769
596	0.1746807391
597	0.1745782371
598	0.1744007918
599	0.1742595569
600	0.1740863196
601	0.1739005918
602	0.1738148229
603	0.173577381
604	0.1734603284
605	0.173433158
606	0.1733192754
607	0.1731478983
608	0.1729822639
609	0.1729226817
610	0.172743221
611	0.1726512585
612	0.1725021823
613	0.1724712568
614	0.1723834211
615	0.172331099
616	0.172040799
617	0.1717807493
618	0.1717331412
619	0.1716526611
620	0.1715288961
621	0.171300001
622	0.1711728824
623	0.1710953075
624	0.1709225672
625	0.1708939333
626	0.1708617516
627	0.170598191
628	0.1704909495
629	0.1704644459
630	0.170307942
631	0.1701991233
632	0.1701459986
633	0.1701228517
634	0.1700458603
635	0.1698251302
636	0.1697941395
637	0.1696171015
638	0.1693682188
639	0.1692167198
640	0.1690052332
641	0.1689402156
642	0.1688941377
643	0.1687916943
644	0.16858582
645	0.1684465747
646	0.1682969788
647	0.1681019362
648	0.1680691558
649	0.1678755515
650	0.1677547985
651	0.1676124442
652	0.1675657472
653	0.1673418427
654	0.1671796845
655	0.1670675592
656	0.1670517672
657	0.166901457
658	0.1667407865
659	0.166681729
660	0.1664886601
661	0.1663682756
662	0.1662208084
663	0.1661949699
664	0.1660499162
665	0.1659750837
666	0.1659218725
667	0.1658666252
668	0.165836671
669	0.1658138944
670	0.1657843735
671	0.1657588311
672	0.165585197
673	0.1655358478
674	0.165386465
675	0.165254172
676	0.1652064418
677	0.1650901145
678	0.1650231021
679	0.1649939236
680	0.1649664973
681	0.1648531121
682	0.1647196509
683	0.1645110249
684	0.164388901
685	0.1643439819
686	0.1642132611
687	0.1641272907
688	0.1641125108
689	0.1640862881
690	0.1639513101
691	0.1639039096
692	0.1638627828
693	0.1636639858
694	0.1636207021
695	0.1635303166
696	0.1634891226
697	0.1634245333
698	0.1634005287
699	0.1633614155
700	0.1633324837
701	0.1633052867
702	0.1632851284
703	0.1631339764
704	0.1630346646
705	0.1630083737
706	0.1629699713
707	0.1629069039
708	0.1626925947
709	0.1625757963
710	0.1625382663
711	0.1624673825
712	0.1623634047
713	0.1621845135
714	0.1620452908
715	0.1619532498
716	0.16191751
717	0.1616605126
718	0.1613678799
719	0.1613254748
720	0.1611661298
721	0.1610936033
722	0.1609825991
723	0.1607740646
724	0.1606495869
725	0.1605640667
726	0.1605414737
727	0.16051629
728	0.1603808301
729	0.1602305909
730	0.1601757733
731	0.1600515219
732	0.1599771544
733	0.1599422165
734	0.1598310055
735	0.1597582635
736	0.1595964476
737	0.1594320379
738	0.159272869
739	0.159126367
740	0.1591063938
741	0.1590835644
742	0.1589962383
743	0.1589466053
744	0.1588055917
745	0.1587663561
746	0.1585810944
747	0.158414187
748	0.1580800843
749	0.1580182714
750	0.1579221658
751	0.1578899346
752	0.1577901716
753	0.1576344879
754	0.157511932
755	0.1574839312
756	0.1574616213
757	0.1574317161
758	0.1574030828
759	0.157314545
760	0.1572873234
761	0.1572197276
762	0.1571965256
763	0.1571412756
764	0.1570430316
765	0.1569396076
766	0.1568475703
767	0.1568362727
768	0.1568048845
769	0.1567749052
770	0.1567526846
771	0.1567233921
772	0.1566975128
773	0.1565843659
774	0.156428036
775	0.1562518257
776	0.1561583186
777	0.1561509366
778	0.1559980421
779	0.1558265338
780	0.1556223776
781	0.155441979
782	0.1552989799
783	0.1551948284
784	0.1551732502
785	0.15506959
786	0.1549836604
787	0.1549630285
788	0.1549250811
789	0.1548012454
790	0.154652974
791	0.1546421447
792	0.1545150194
793	0.1544908182
794	0.1543592608
795	0.1542260004
796	0.154064878
797	0.1539697863
798	0.1538785884
799	0.1537659016
